epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1108.3,0.28047,0.20673,0.86258,0.9899,1,0.995,0.97735,0.25485,0.19141,0.68595,0.000184055,0.000184055,0.000184055
90,1120.28,0.28326,0.21181,0.8605,0.98806,1,0.995,0.97431,0.2529,0.18828,0.68393,0.000169908,0.000169908,0.000169908
91,1135.73,0.24098,0.17898,0.81695,0.98946,1,0.99352,0.96854,0.26432,0.18968,0.68297,0.000155761,0.000155761,0.000155761
92,1148.28,0.24098,0.17039,0.82049,0.98845,1,0.99337,0.96826,0.27634,0.19682,0.69903,0.000141614,0.000141614,0.000141614
93,1160.69,0.23735,0.16487,0.82032,0.98777,0.99939,0.993,0.9706,0.26607,0.19581,0.69926,0.000127467,0.000127467,0.000127467
94,1172.67,0.24523,0.17186,0.81884,0.9851,0.98485,0.99442,0.9707,0.26727,0.19765,0.69967,0.00011332,0.00011332,0.00011332
95,1184.77,0.2348,0.16576,0.82321,0.98688,1,0.9947,0.97516,0.26022,0.19098,0.6894,9.91726e-05,9.91726e-05,9.91726e-05
96,1196.58,0.227,0.16073,0.82056,0.99067,0.99812,0.9947,0.97732,0.25751,0.19126,0.68476,8.50255e-05,8.50255e-05,8.50255e-05
97,1208.42,0.2218,0.15898,0.81498,0.98946,0.99893,0.995,0.97729,0.25526,0.1836,0.68854,7.08784e-05,7.08784e-05,7.08784e-05
98,1220.32,0.2266,0.15513,0.82127,0.99612,0.99718,0.995,0.97799,0.25221,0.18398,0.68865,5.67313e-05,5.67313e-05,5.67313e-05
99,1232.14,0.21839,0.1546,0.81341,0.99506,1,0.995,0.97706,0.2497,0.17992,0.68318,4.25842e-05,4.25842e-05,4.25842e-05
100,1244.01,0.21688,0.15055,0.80156,0.9966,1,0.995,0.97712,0.24273,0.17387,0.67889,2.84371e-05,2.84371e-05,2.84371e-05
